order_id,order_date,city,status,note
D0001,2026-06-27,Odesa,shipped,delivered on time
D0002,2026-06-28,Kharkiv,shipped,delivered on time
D0003,2026-07-24,Odesa,shipped,delivered on time
D0004,2026-07-09,Dnipro,shipped,delivered on time
D0005,2026-07-02,Odesa,shipped,delivered on time
D0006,2026-05-25,Kharkiv,shipped,delivered on time
D0007,2026-06-09,Vinnytsia,pending,payment pending
D0008,2026-06-28,Kyiv,shipped,packaging damaged
D0009,2026-06-14,Vinnytsia,shipped,delivered on time
D0010,2026-05-31,Kyiv,shipped,delivered on time
D0011,2026-07-03,Lviv,shipped,delivered on time
D0012,2026-06-30,Kharkiv,pending,payment pending
D0013,2026-06-07,Zaporizhzhia,cancelled,customer cancelled
D0014,2026-04-19,Odesa,shipped,delivered on time
D0015,2026-06-23,Vinnytsia,shipped,delivered on time
D0016,2026-06-02,Zaporizhzhia,cancelled,customer cancelled
D0017,2026-05-29,Odesa,pending,payment pending
D0018,2026-05-12,Odesa,shipped,delivered on time
D0019,2026-05-12,Lviv,shipped,packaging damaged
D0020,2026-07-31,Dnipro,cancelled,customer cancelled
D0021,2026-08-01,Kharkiv,pending,awaiting warehouse
D0022,2026-04-16,Dnipro,shipped,delivered on time
D0023,2026-06-06,Zaporizhzhia,shipped,delivered on time
D0024,2026-07-20,Poltava,cancelled,customer cancelled
D0025,2026-05-19,Vinnytsia,shipped,delivered on time
D0026,2026-06-01,Odesa,shipped,delivered on time
D0027,2026-07-26,Kharkiv,pending,awaiting warehouse
D0028,2026-07-22,Dnipro,cancelled,customer cancelled
D0029,2026-04-15,Vinnytsia,shipped,delivered on time
D0030,2026-04-24,Vinnytsia,cancelled,customer cancelled
D0031,2026-05-11,Kharkiv,shipped,delivered on time
D0032,2026-06-03,Vinnytsia,shipped,delivered on time
D0033,2026-07-01,Dnipro,cancelled,customer cancelled
D0034,2026-06-28,Odesa,shipped,delivered on time
D0035,2026-06-16,Odesa,shipped,delivered on time
D0036,2026-07-15,Poltava,shipped,delivered on time
D0037,2026-05-10,Vinnytsia,shipped,delivered on time
D0038,2026-05-29,Poltava,shipped,delivered on time
D0039,2026-05-15,Odesa,shipped,delivered on time
D0040,2026-06-07,Dnipro,shipped,packaging damaged
D0041,2026-06-24,Kyiv,shipped,delivered on time
D0042,2026-06-23,Kharkiv,shipped,delivered on time
D0043,2026-05-25,Odesa,cancelled,out of stock
D0044,2026-06-30,Kyiv,pending,awaiting warehouse
D0045,2026-07-01,Vinnytsia,shipped,delivered on time
D0046,2026-06-16,Zaporizhzhia,shipped,packaging damaged
D0047,2026-06-12,Zaporizhzhia,cancelled,customer cancelled
D0048,2026-04-12,Dnipro,shipped,delivered on time
D0049,2026-05-28,Vinnytsia,cancelled,customer cancelled
D0050,2026-07-17,Kyiv,shipped,packaging damaged
D0051,2026-05-11,Dnipro,pending,awaiting warehouse
D0052,2026-06-08,Lviv,shipped,packaging damaged
D0053,2026-05-06,Dnipro,pending,awaiting warehouse
D0054,2026-06-21,Kyiv,shipped,delivered on time
D0055,2026-06-05,Vinnytsia,pending,awaiting warehouse
D0056,2026-06-03,Zaporizhzhia,shipped,packaging damaged
D0057,2026-06-18,Poltava,shipped,delivered on time
D0058,2026-07-01,Poltava,shipped,delivered on time
D0059,2026-06-06,Kyiv,shipped,delivered on time
D0060,2026-06-25,Vinnytsia,pending,awaiting warehouse
D0061,2026-04-12,Kyiv,shipped,delivered on time
D0062,2026-07-06,Poltava,pending,awaiting warehouse
D0063,2026-05-25,Dnipro,shipped,packaging damaged
D0064,2026-08-01,Kyiv,shipped,packaging damaged
D0065,2026-05-29,Kharkiv,shipped,delivered on time
D0066,2026-04-18,Lviv,pending,awaiting warehouse
D0067,2026-06-16,Poltava,pending,awaiting warehouse
D0068,2026-06-16,Zaporizhzhia,shipped,delivered on time
D0069,2026-06-21,Vinnytsia,pending,awaiting warehouse
D0070,2026-07-02,Dnipro,shipped,packaging damaged
D0071,2026-07-11,Dnipro,shipped,delivered on time
D0072,2026-07-27,Vinnytsia,cancelled,customer cancelled
D0073,2026-06-04,Vinnytsia,shipped,packaging damaged
D0074,2026-05-10,Zaporizhzhia,shipped,delivered on time
D0075,2026-04-27,Dnipro,shipped,delivered on time
D0076,2026-05-22,Vinnytsia,shipped,delivered on time
D0077,2026-04-20,Poltava,shipped,delivered on time
D0078,2026-07-01,Zaporizhzhia,shipped,packaging damaged
D0079,2026-05-19,Kharkiv,shipped,delivered on time
D0080,2026-04-25,Kharkiv,pending,awaiting warehouse
D0081,2026-05-02,Kharkiv,shipped,delivered on time
D0082,2026-05-17,Odesa,shipped,packaging damaged
D0083,2026-05-05,Poltava,pending,awaiting warehouse
D0084,2026-04-30,Zaporizhzhia,pending,awaiting warehouse
D0085,2026-07-07,Odesa,shipped,delivered on time
D0086,2026-06-16,Dnipro,pending,payment pending
D0087,2026-07-20,Vinnytsia,shipped,delivered on time
D0088,2026-07-08,Dnipro,pending,awaiting warehouse
D0089,2026-07-20,Dnipro,shipped,packaging damaged
D0090,2026-07-09,Zaporizhzhia,shipped,delivered on time
D0091,2026-07-14,Lviv,cancelled,out of stock
D0092,2026-04-06,Kyiv,shipped,delivered on time
D0093,2026-05-15,Lviv,shipped,packaging damaged
D0094,2026-07-07,Poltava,shipped,delivered on time
D0095,2026-06-03,Kyiv,shipped,delivered on time
D0096,2026-05-06,Vinnytsia,shipped,delivered on time
D0097,2026-05-12,Lviv,cancelled,customer cancelled
D0098,2026-05-30,Zaporizhzhia,pending,awaiting warehouse
D0099,2026-05-06,Zaporizhzhia,shipped,delivered on time
D0100,2026-06-03,Poltava,shipped,delivered on time
D0101,2026-05-31,Kharkiv,shipped,delivered on time
D0102,2026-06-30,Kyiv,cancelled,customer cancelled
D0103,2026-06-27,Zaporizhzhia,shipped,delivered on time
D0104,2026-07-30,Kyiv,pending,awaiting warehouse
D0105,2026-06-30,Dnipro,shipped,delivered on time
D0106,2026-07-20,Lviv,shipped,delivered on time
D0107,2026-05-09,Vinnytsia,shipped,delivered on time
D0108,2026-05-28,Kyiv,cancelled,out of stock
D0109,2026-04-17,Zaporizhzhia,shipped,delivered on time
D0110,2026-06-09,Odesa,shipped,delivered on time
D0111,2026-06-20,Vinnytsia,shipped,delivered on time
D0112,2026-04-17,Dnipro,shipped,delivered on time
