product_id,product_name,category,unit_cost
P001,laptops-001,Ноутбуки,5899.45
P002,phones-002,Смартфони,1996.0
P003,accessories-003,Аксесуари,55.94
P004,appliances-004,Побутова техніка,886.92
P005,clothing-005,Одяг,137.49
P006,laptops-006,Ноутбуки,4613.43
P007,phones-007,Смартфони,1594.66
P008,accessories-008,Аксесуари,74.54
P009,appliances-009,Побутова техніка,1124.65
P010,clothing-010,Одяг,120.71
P011,laptops-011,Ноутбуки,4517.98
P012,phones-012,Смартфони,1866.53
P013,accessories-013,Аксесуари,55.41
P014,appliances-014,Побутова техніка,924.2
P015,clothing-015,Одяг,149.73
P016,laptops-016,Ноутбуки,4231.67
P017,phones-017,Смартфони,1718.02
P018,accessories-018,Аксесуари,70.05
P019,appliances-019,Побутова техніка,817.42
P020,clothing-020,Одяг,115.11
P021,laptops-021,Ноутбуки,5931.14
P022,phones-022,Смартфони,1990.17
P023,accessories-023,Аксесуари,77.63
P024,appliances-024,Побутова техніка,1053.45
P025,clothing-025,Одяг,108.6
P026,laptops-026,Ноутбуки,5338.96
P027,phones-027,Смартфони,1532.75
P028,accessories-028,Аксесуари,78.36
P029,appliances-029,Побутова техніка,891.71
P030,clothing-030,Одяг,108.62
P031,laptops-031,Ноутбуки,5472.18
P032,phones-032,Смартфони,2115.41
P033,accessories-033,Аксесуари,68.47
P034,appliances-034,Побутова техніка,1063.0
P035,clothing-035,Одяг,104.85
P036,laptops-036,Ноутбуки,5465.26
P037,phones-037,Смартфони,2143.6
P038,accessories-038,Аксесуари,75.69
P039,appliances-039,Побутова техніка,904.2
P040,clothing-040,Одяг,108.56
P041,laptops-041,Ноутбуки,4263.55
P042,phones-042,Смартфони,1999.33
P043,accessories-043,Аксесуари,68.38
P044,appliances-044,Побутова техніка,1020.63
P045,clothing-045,Одяг,117.21
P046,laptops-046,Ноутбуки,4948.35
P047,phones-047,Смартфони,2318.48
P048,accessories-048,Аксесуари,78.28
P049,appliances-049,Побутова техніка,845.77
P050,clothing-050,Одяг,118.25
P051,laptops-051,Ноутбуки,6192.02
P052,phones-052,Смартфони,1553.3
P053,accessories-053,Аксесуари,60.29
P054,appliances-054,Побутова техніка,978.99
P055,clothing-055,Одяг,139.0
P056,laptops-056,Ноутбуки,4162.27
P057,phones-057,Смартфони,1992.24
P058,accessories-058,Аксесуари,57.14
P059,appliances-059,Побутова техніка,1068.1
P060,clothing-060,Одяг,158.1
