quarter,channel,revenue,share_pct
2024-Q1,online,30287793.10,46.57
2024-Q1,retail,25883263.60,39.80
2024-Q1,wholesale,8860163.65,13.62
2024-Q2,online,28105193.76,43.04
2024-Q2,retail,26900804.63,41.19
2024-Q2,wholesale,10298708.59,15.77
2024-Q3,online,31138444.61,44.40
2024-Q3,retail,27253318.88,38.86
2024-Q3,wholesale,11738958.93,16.74
2024-Q4,online,29577354.54,44.71
2024-Q4,retail,27545266.15,41.64
2024-Q4,wholesale,9029144.69,13.65
2025-Q1,online,31033951.33,45.23
2025-Q1,retail,28015955.14,40.83
2025-Q1,wholesale,9564854.06,13.94
2025-Q2,online,27631417.94,42.65
2025-Q2,retail,26441678.49,40.81
2025-Q2,wholesale,10717094.24,16.54
2025-Q3,online,28493037.23,44.05
2025-Q3,retail,26440308.65,40.88
2025-Q3,wholesale,9745235.31,15.07
2025-Q4,online,29944595.18,45.28
2025-Q4,retail,26698240.92,40.37
2025-Q4,wholesale,9494714.74,14.36
