order_id,order_date_raw,category_raw,product_id,channel,quantity,unit_price,amount_raw
S00001,2025-09-21,Побутова техніка,P039,online,3,10949.19,32847.57 грн
S00002,2025-12-09,одяг,P062,online,1,746.03,746.03
S00003,08.03.2025,одяг,P050,retail,4,1826.96,7307.84
S00004,25.11.2025,СМАРТФОНИ,P042,online,5,4748.39,23741.95 грн
S00005,2024-12-27,Одяг,P055,retail,3,802.74,2408.22
S00006,30.04.2024,одяг,P050,online,2,1102.61,2205.22
S00007,2025-09-29, смартфони ,P027,wholesale,2,22564.52,45129.04
S00008,03.08.2024,Ноутбуки,P036,retail,3,11900.95,"35702,85"
S00009,2024-11-24,смартфони,P052,wholesale,2,12759.86,25 519.72
S00010,16.09.2025,Ноутбуки ,P026,retail,1,31404.79,31 404.79
S00011,2025-12-13,Одяг ,P045,online,5,420.89,2104.45
S00012,2024-07-15,Ноутбуки,P016,online,5,27689.33,138 446.65
S00013,2024-11-25,Ноутбуки,P036,wholesale,3,20844.37,"62533,11"
S00014,23.02.2025,Ноутбуки ,P021,online,2,19129.23,"38258,46"
S00015,02.09.2024,смартфони,P052,retail,3,11901.24,"35703,72"
S00016,2024-09-13,одяг,P030,retail,5,2646.94,13234.70
S00017,2024-02-25,Одяг,P045,online,3,2278.93,6836.79
S00018,2024-02-26, смартфони ,P022,online,5,21301.84,106509.20 грн
S00019,22.02.2024,Одяг ,P035,wholesale,2,1068.58,2137.16 грн
S00020,2025-12-02,Смартфони ,P027,online,4,21241.75,84967.00
S00021,2025-11-27,Смартфони,P037,online,2,24390.31,48780.62
S00022,2025-09-11,смартфони,P037,online,2,8772.84,"17545,68"
S00023,09.09.2025,Ноутбуки,P016,online,5,34759.77,173798.85
S00024,2024-04-17,Побутова техніка,P029,retail,2,9455.77,18 911.54
S00025,2024-09-24,побутова техніка,P059,wholesale,2,9319.69,18639.38
S00026,2025-11-24,смартфони,P012,online,1,5427.04,5 427.04
S00027,01.04.2025,Ноутбуки,P026,online,1,27172.05,27172.05
S00028,10.07.2024,Побутова техніка,P009,retail,3,4020.74,12062.22
S00029,2024-06-12,НОУТБУКИ,P026,retail,3,9455.08,28365.24
S00030,2025-12-27,Аксесуари,P053,retail,2,1743.28,3486.56
S00031,15.07.2025,Ноутбуки,P011,online,2,13081.31,26 162.62
S00032,2025-01-14, смартфони ,P073,online,2,3148.46,6 296.92
S00033,06.10.2024,АКСЕСУАРИ,P023,online,4,357.86,1 431.44
S00034,2025-09-02,Смартфони,P012,retail,3,14980.64,44 941.92
S00035,07.07.2024,Ноутбуки ,P026,retail,5,11669.01,58345.05
S00036,2024-06-15, аксесуари ,P058,wholesale,4,811.27,-3245.08
S00037,2024-06-12,НОУТБУКИ,P075,wholesale,4,15162.49,60649.96 грн
S00038,2025-05-28,Одяг ,P010,online,2,574.75,1149.50
S00039,2024-06-20,Побутова техніка,P049,online,5,19957.11,99785.55 грн
S00040,16.04.2025,Аксесуари,P058,retail,3,1330.36,"3991,08"
S00041,08.02.2024,ОДЯГ,P010,online,4,1790.78,7163.12
S00042,06.07.2025, одяг ,P055,retail,4,1868.53,7474.12
S00043,2024-02-03,Ноутбуки,P041,retail,5,33451.04,"167255,20"
S00044,25.07.2025,ноутбуки,P021,wholesale,5,20145.71,"100728,55"
S00045,2025-06-16,Аксесуари,P038,online,1,1427.08,1427.08 грн
S00046,2024-04-02,Одяг,P005,retail,2,818.82,"1637,64"
S00047,21.03.2025,НОУТБУКИ,P056,online,4,21447.42,"85789,68"
S00048,2025-11-12,Побутова техніка,P024,online,3,10604.57,31 813.71
S00049,27.10.2024,Побутова техніка,P014,online,5,8581.71,42908.55
S00050,2025-09-05,Побутова техніка,P004,online,3,7955.17,23865.51
S00051,2025-07-07,аксесуари,P003,retail,5,600.82,3004.10
S00052,09.02.2025,Ноутбуки,P031,wholesale,5,18901.67,94508.35
S00053,2024-08-09,ОДЯГ,P020,retail,2,2650.16,"-5300,32"
S00054,2024-03-07,Смартфони,P012,online,1,13539.52,"(13539,52)"
S00055,2025-09-04,Одяг,P015,online,1,1482.91,1482.91 грн
S00056,2025-11-27,ноутбуки,P031,online,5,8066.40,40332.00
S00057,2024-01-03,Смартфони,P002,retail,2,15795.14,31590.28
S00058,2024-12-01,Одяг,P010,retail,4,433.71,1 734.84
S00059,2025-04-29,Побутова техніка,P034,wholesale,3,19371.08,58113.24
