invoice_id,counterparty_raw
9002,ТОВ «ЧЕРЕМОШ МАРКЕТ»
9007,ТОВ «СЛАВУТИЧ ПРОМ»
9011,ТОВ «КОБЗА ЛОГІСТИК»
9016,ПП «ЛИМАН ГРУП»
9025,ТОВ «КАРПАТИ СЕРВІС»
9030,ТОВ «БАРВІНОК АГРО»
9034,ТОВ «ДНІПРО ТРЕЙД»
9039,ПП «ЕДЕЛЬВЕЙС ПЛЮС»
9043,ПП «КАШТАН МАРКЕТ»
9048,ТОВ «ОРІОН ПОСТАЧ»
9052,ТОВ «ЧЕРЕМОШ МАРКЕТ»
9053,ТОВ «Незалежний Постачальник»
9054,ФОП Іваненко І. І.
9055,ТОВ «Січ Логістик»
9056,ПП «Дністер Опт»
9057,ТОВ «Полісся Ресурс»
9058,ФОП Петренко П. П.
9059,ТОВ «Бескид Сервіс»
9060,ПП «Азов Постач»
