partner_id,legal_name,feed_key,invoices,total
1,ТОВ «Кобза Логістик»,ТОВ «Кобза Логістик«,5,24250.0
2,ТОВ «Черемош Маркет»,ТОВ «Черемош Маркет«,4,18300.0
3,ПП «Каштан Маркет»,ПП «Каштан Маркет«,4,13350.0
4,ТОВ «Дніпро Трейд»,ТОВ «Дніпро Трейд«,4,15275.0
5,ТОВ «Карпати Сервіс»,ТОВ «Карпати Сервіс«,4,17200.0
6,ПП «Лиман Груп»,ПП «Лиман Груп«,4,19125.0
7,ТОВ «Славутич Пром»,ТОВ «Славутич Пром«,4,21050.0
8,ТОВ «Оріон Постач»,ТОВ «Оріон Постач«,4,16100.0
9,ПП «Едельвейс Плюс»,ПП «Едельвейс Плюс«,4,18025.0
10,ТОВ «Барвінок Агро»,ТОВ «Барвінок Агро«,4,19950.0
11,ТОВ «Тиса Транс»,,0,0
12,ПП «Верховина Буд»,,0,0
,,ПП «Азов Постач«,1,3978.75
,,ПП «Дністер Опт«,1,3133.75
,,ПП «ЕДЕЛЬВЕЙС ПЛЮС«,1,6225.0
,,ПП «КАШТАН МАРКЕТ«,1,6775.0
,,ПП «ЛИМАН ГРУП«,1,3062.5
,,ТОВ «БАРВІНОК АГРО«,1,4987.5
,,ТОВ «Бескид Сервіс«,1,3767.5
,,ТОВ «ДНІПРО ТРЕЙД«,1,5537.5
,,ТОВ «КАРПАТИ СЕРВІС«,1,4300.0
,,ТОВ «КОБЗА ЛОГІСТИК«,1,2375.0
,,ТОВ «Незалежний Постачальник«,1,2500.0
,,ТОВ «ОРІОН ПОСТАЧ«,1,7462.5
,,ТОВ «Полісся Ресурс«,1,3345.0
,,ТОВ «СЛАВУТИЧ ПРОМ«,1,1825.0
,,ТОВ «Січ Логістик«,1,2922.5
,,ТОВ «ЧЕРЕМОШ МАРКЕТ«,2,9150.0
,,ФОП Іваненко І. І.,1,2711.25
,,ФОП Петренко П. П.,1,3556.25
