year,month_no,Settled Amount,Settled YTD
2025,1,495704.58,495704.58
2025,2,420054.73,915759.31
2025,3,499091.10,1414850.41
2025,4,472082.46,1886932.87
2025,5,542731.48,2429664.35
2025,6,517508.71,2947173.06
2025,7,484044.96,3431218.02
2025,8,491650.25,3922868.27
2025,9,535413.29,4458281.56
2025,10,464837.25,4923118.81
2025,11,456193.12,5379311.93
2025,12,525302.41,5904614.34
2026,1,468889.81,468889.81
2026,2,378003.52,846893.33
2026,3,527871.50,1374764.83
2026,4,442727.56,1817492.39
2026,5,485749.20,2303241.59
2026,6,495266.84,2798508.43
