база,способ сравнения,вариантов названия
payouts_2026_q1.csv,как прочитано,278
payouts_2026_q1.csv,обрезка краёв,217
payouts_2026_q1.csv,обрезка краёв + схлопывание внутренних пробелов,167
payouts_2026_q1.csv,"правило 3 канона (+ кавычки, casefold)",62
payouts_2026_q2.csv,как прочитано,282
payouts_2026_q2.csv,обрезка краёв,220
payouts_2026_q2.csv,обрезка краёв + схлопывание внутренних пробелов,170
payouts_2026_q2.csv,"правило 3 канона (+ кавычки, casefold)",62
обе выгрузки после склейки,как прочитано,302
обе выгрузки после склейки,обрезка краёв,240
обе выгрузки после склейки,обрезка краёв + схлопывание внутренних пробелов,181
обе выгрузки после склейки,"правило 3 канона (+ кавычки, casefold)",62
