partner_code,partner_name,city,plan,payouts,gross_uah,fee_uah,take_rate
30000407,ФОП «Черемош Трейд»,Одеса,Стандарт,77,4032269.67,80645.37,0.0200
30000036,ПП «Каштан Маркет»,Вінниця,Преміум,76,3713270.39,59412.30,0.0160
30000288,ПП «Кобза Трейд»,Львів,Преміум,62,3598064.47,57569.03,0.0160
30000099,ПП «Калина Маркет»,Запоріжжя,Преміум,65,3306431.74,52902.93,0.0160
30000309,ПП «Барвінок Трейд»,Дніпро,Преміум,66,3209930.11,51358.88,0.0160
30000050,ФОП «Полтва Маркет»,Ужгород,Стандарт,60,3114632.19,62292.68,0.0200
30000274,ТОВ «Ятрань Логістик»,Ужгород,Базовий,67,3098304.04,77457.62,0.0250
30000141,ПП «Світло Логістик»,Дніпро,Преміум,61,3095864.12,49533.79,0.0160
30000246,ПП «Лелека Логістик»,Харків,Преміум,62,3090702.60,49451.22,0.0160
30000162,ПП «Явір Логістик»,Ужгород,Преміум,58,3070721.15,49131.53,0.0160
30000064,ТОВ «Хортиця Маркет»,Львів,Базовий,61,3050691.81,76267.29,0.0250
30000351,ПП «Оболонь Трейд»,Одеса,Преміум,62,3040835.85,48653.36,0.0160
30000302,ФОП «Явір Трейд»,Харків,Стандарт,58,3033270.50,60665.41,0.0200
30000365,ФОП «Троянда Трейд»,Дніпро,Стандарт,58,2980661.69,59613.26,0.0200
30000183,ПП «Смерека Логістик»,Одеса,Преміум,57,2966351.36,47461.66,0.0160
30000323,ФОП «Смерека Трейд»,Запоріжжя,Стандарт,62,2921038.81,58420.77,0.0200
30000204,ПП «Хортиця Логістик»,Вінниця,Преміум,67,2915981.85,46655.70,0.0160
30000281,ФОП «Світло Трейд»,Київ,Стандарт,57,2899550.63,57991.05,0.0200
30000127,ТОВ «Черемош Маркет»,Одеса,Базовий,54,2891210.16,72280.29,0.0250
30000400,ТОВ «Тиса Трейд»,Львів,Базовий,53,2865308.06,71632.71,0.0250
30000190,ТОВ «Полтва Логістик»,Харків,Базовий,55,2828528.37,70713.21,0.0250
30000386,ФОП «Лелека Трейд»,Ужгород,Стандарт,58,2821611.50,56432.19,0.0200
30000393,ПП «Скіф Трейд»,Київ,Преміум,62,2818449.96,45095.17,0.0160
30000057,ПП «Либідь Маркет»,Київ,Преміум,63,2773994.64,44383.88,0.0160
30000022,ТОВ «Явір Маркет»,Харків,Базовий,50,2771611.37,69290.27,0.0250
30000295,ТОВ «Дніпро Трейд»,Одеса,Базовий,54,2764732.62,69118.30,0.0250
30000113,ФОП «Скіф Маркет»,Київ,Стандарт,64,2764076.36,55281.56,0.0200
,ФОП «Барвінок Маркет»,Дніпро,Стандарт,53,2762334.44,55246.73,0.0200
,ПП «Черемош Логістик»,Запоріжжя,Преміум,56,2760593.36,44169.49,0.0160
30000148,ТОВ «Кобза Логістик»,Вінниця,Базовий,55,2731021.00,68275.51,0.0250
30000008,ФОП «Кобза Маркет»,Львів,Стандарт,62,2721171.31,54423.43,0.0200
30000232,ТОВ «Верес Логістик»,Львів,Базовий,58,2640388.68,66009.76,0.0250
30000134,ФОП «Ятрань Маркет»,Харків,Стандарт,55,2626111.11,52522.23,0.0200
30000078,ПП «Січ Маркет»,Харків,Преміум,54,2623070.84,41969.17,0.0160
30000344,ФОП «Хортиця Трейд»,Львів,Стандарт,64,2617590.77,52351.83,0.0200
30000043,ТОВ «Смерека Маркет»,Запоріжжя,Базовий,61,2594645.06,64866.14,0.0250
30000071,ФОП «Оболонь Маркет»,Одеса,Стандарт,53,2522941.30,50458.83,0.0200
30000211,ТОВ «Оболонь Логістик»,Запоріжжя,Базовий,54,2514281.88,62857.04,0.0250
30000169,ТОВ «Барвінок Логістик»,Київ,Базовий,58,2505473.21,62636.81,0.0250
30000260,ФОП «Тиса Логістик»,Вінниця,Стандарт,53,2490649.42,49812.99,0.0200
30000379,ТОВ «Калина Трейд»,Запоріжжя,Базовий,59,2471629.43,61790.71,0.0250
30000092,ФОП «Верес Маркет»,Вінниця,Стандарт,46,2391665.70,47833.32,0.0200
,ПП «Тиса Маркет»,Львів,Преміум,57,2388787.44,38220.59,0.0160
30000197,ФОП «Либідь Логістик»,Дніпро,Стандарт,56,2339677.25,46793.50,0.0200
30000358,ТОВ «Січ Трейд»,Харків,Базовий,55,2305780.48,57644.51,0.0250
,ТОВ «Каштан Трейд»,Вінниця,Базовий,53,2303959.41,57598.96,0.0250
30000253,ТОВ «Скіф Логістик»,Дніпро,Базовий,48,2303382.97,57584.64,0.0250
30000176,ФОП «Каштан Логістик»,Львів,Стандарт,49,2262172.79,45243.45,0.0200
30000001,ТОВ «Світло Маркет»,Київ,Базовий,48,2261774.78,56544.31,0.0250
30000239,ФОП «Калина Логістик»,Одеса,Стандарт,48,2217184.44,44343.68,0.0200
30000015,ПП «Дніпро Маркет»,Одеса,Преміум,49,2209213.32,35347.40,0.0160
30000372,ПП «Верес Трейд»,Вінниця,Преміум,46,2140297.45,34244.73,0.0160
30000225,ПП «Троянда Логістик»,Київ,Преміум,49,2132309.83,34116.98,0.0160
30000330,ПП «Полтва Трейд»,Ужгород,Преміум,52,2131041.93,34096.68,0.0160
30000085,ТОВ «Троянда Маркет»,Дніпро,Базовий,43,2120326.83,53008.18,0.0250
30000337,ТОВ «Либідь Трейд»,Київ,Базовий,52,2106407.09,52660.20,0.0250
30000218,ФОП «Січ Логістик»,Ужгород,Стандарт,39,2005883.90,40117.67,0.0200
,ПП «Ятрань Трейд»,Харків,Преміум,42,1960594.85,31369.51,0.0160
30000155,ФОП «Дніпро Логістик»,Запоріжжя,Стандарт,40,1864118.20,37282.38,0.0200
30000106,ТОВ «Лелека Маркет»,Ужгород,Базовий,34,1416973.42,35424.32,0.0250
