файл,показатель,определение,значение
payouts_2026_q1.csv,строк данных,строк файла без строки заголовка,1996
payouts_2026_q1.csv,колонок,полей в строке заголовка,7
payouts_2026_q1.csv,сумма колонки amount,"все строки файла, статус не фильтруется; десятичный знак приведён к точке",84632855.40
payouts_2026_q1.csv,строк со статусом PAID,"сравнение без учёта регистра, края обрезаны",1699
payouts_2026_q1.csv,строк без кода партнёра,код пуст после обрезки краёв,262
payouts_2026_q1.csv,вариантов названия партнёра,"уникальных значений partner_name в этом файле, как прочитано: края не обрезаны, внутренние пробелы не схлопнуты, регистр учтён",278
payouts_2026_q2.csv,строк данных,строк файла без строки заголовка,2148
payouts_2026_q2.csv,колонок,полей в строке заголовка,7
payouts_2026_q2.csv,сумма колонки total,"все строки файла, статус не фильтруется; десятичный знак приведён к точке",90835846.88
payouts_2026_q2.csv,строк со статусом PAID,"сравнение без учёта регистра, края обрезаны",1835
payouts_2026_q2.csv,строк без кода партнёра,код пуст после обрезки краёв,288
payouts_2026_q2.csv,вариантов названия партнёра,"уникальных значений partner_name в этом файле, как прочитано: края не обрезаны, внутренние пробелы не схлопнуты, регистр учтён",282
