settlement_id,ledger_txn_id,amount,settled_date
S002190,T003225,3417.36,2026-02-17
S002191,T003226,1850.09,2026-03-13
S002192,T003227,2062.20,2026-03-10
S002193,T003228,1449.43,2026-02-19
S002194,T003229,1123.41,2026-03-28
S002195,T003230,1119.48,2026-01-08
S002196,T003231,4124.40,2026-03-23
S002197,T003232,368.25,2026-03-13
S002198,T003233,1543.70,2026-01-30
S002199,T003234,1052.70,2026-02-18
S002200,T003235,1036.99,2026-03-24
S002201,T003236,1044.85,2026-03-06
S002202,T003237,2509.01,2026-01-31
S002203,T003238,3368.26,2026-01-16
S002204,T003239,1072.34,2026-03-10
