txn_id,тип нарушения
T000128,reversed без компенсации в пределах 5 дней
T000135,reversed без компенсации в пределах 5 дней
T000189,reversed без компенсации в пределах 5 дней
T000263,"failed, но расчёт пришёл"
T000433,"failed, но расчёт пришёл"
T000440,"failed, но расчёт пришёл"
T000646,"failed, но расчёт пришёл"
T000694,reversed без компенсации в пределах 5 дней
T000860,reversed без компенсации в пределах 5 дней
T000905,reversed без компенсации в пределах 5 дней
T000946,reversed без компенсации в пределах 5 дней
T000956,reversed без компенсации в пределах 5 дней
T001054,reversed без компенсации в пределах 5 дней
T001219,"failed, но расчёт пришёл"
T001278,reversed без компенсации в пределах 5 дней
T001337,reversed без компенсации в пределах 5 дней
T001418,"failed, но расчёт пришёл"
T001482,reversed без компенсации в пределах 5 дней
T001527,reversed без компенсации в пределах 5 дней
T001548,reversed без компенсации в пределах 5 дней
T001624,reversed без компенсации в пределах 5 дней
T001806,reversed без компенсации в пределах 5 дней
T001816,"failed, но расчёт пришёл"
T001962,reversed без компенсации в пределах 5 дней
T001979,reversed без компенсации в пределах 5 дней
T001995,reversed без компенсации в пределах 5 дней
T002008,reversed без компенсации в пределах 5 дней
T002125,"failed, но расчёт пришёл"
T002255,reversed без компенсации в пределах 5 дней
