txn_id,account_id,amount,ts,причина
T002310,ACC-0003,1140.00,2026-01-01T08:03:38,дубль ретрая операции T000002
T002302,ACC-0036,488.00,2026-01-03T06:16:49,дубль ретрая операции T000056
T002319,ACC-0006,732.00,2026-01-11T21:50:33,дубль ретрая операции T000253
T002300,ACC-0021,6265.00,2026-01-13T04:19:57,дубль ретрая операции T000310
T002311,ACC-0027,1920.00,2026-01-13T22:40:00,дубль ретрая операции T000299
T002304,ACC-0034,375.00,2026-01-19T08:06:55,дубль ретрая операции T000486
T002314,ACC-0016,2820.00,2026-01-20T00:32:31,дубль ретрая операции T000502
T002323,ACC-0013,345.00,2026-01-25T09:14:58,дубль ретрая операции T000628
T002309,ACC-0023,2460.00,2026-02-03T14:38:57,дубль ретрая операции T000864
T002307,ACC-0005,5775.00,2026-02-14T14:59:01,дубль ретрая операции T001167
T002324,ACC-0035,470.00,2026-02-19T20:40:23,дубль ретрая операции T001279
T002322,ACC-0017,470.00,2026-02-23T20:54:40,дубль ретрая операции T001380
T002305,ACC-0032,575.00,2026-03-02T04:40:30,дубль ретрая операции T001569
T002315,ACC-0012,688.00,2026-03-05T21:09:10,дубль ретрая операции T001650
T002321,ACC-0037,456.00,2026-03-05T23:36:50,дубль ретрая операции T001644
T002308,ACC-0024,3360.00,2026-03-12T06:01:02,дубль ретрая операции T001810
T002312,ACC-0001,620.00,2026-03-13T03:31:32,дубль ретрая операции T001838
T002317,ACC-0003,660.00,2026-03-17T09:24:14,дубль ретрая операции T001930
T002320,ACC-0013,790.00,2026-03-17T15:42:33,дубль ретрая операции T001933
T002316,ACC-0025,5285.00,2026-03-18T04:13:45,дубль ретрая операции T001951
T002306,ACC-0007,1344.00,2026-03-22T16:57:29,дубль ретрая операции T002039
T002303,ACC-0011,1272.00,2026-03-23T20:03:20,дубль ретрая операции T002061
T002301,ACC-0034,635.00,2026-03-24T06:06:51,дубль ретрая операции T002091
T002318,ACC-0012,784.00,2026-03-29T10:46:32,в пределах окна отставания (последние 3 дня периода)
T002249,ACC-0040,435.00,2026-03-30T02:11:25,в пределах окна отставания (последние 3 дня периода)
T002250,ACC-0013,495.00,2026-03-30T02:56:20,в пределах окна отставания (последние 3 дня периода)
T002258,ACC-0037,1032.00,2026-03-30T04:01:32,в пределах окна отставания (последние 3 дня периода)
T002252,ACC-0035,690.00,2026-03-30T04:20:57,в пределах окна отставания (последние 3 дня периода)
T002263,ACC-0010,2460.00,2026-03-30T05:39:55,в пределах окна отставания (последние 3 дня периода)
T002266,ACC-0002,3580.00,2026-03-30T07:46:34,в пределах окна отставания (последние 3 дня периода)
T002247,ACC-0040,445.00,2026-03-30T14:06:25,в пределах окна отставания (последние 3 дня периода)
T002313,ACC-0012,560.00,2026-03-30T14:14:41,в пределах окна отставания (последние 3 дня периода)
T002257,ACC-0017,535.00,2026-03-30T14:31:12,в пределах окна отставания (последние 3 дня периода)
T002267,ACC-0030,790.00,2026-03-30T19:08:06,в пределах окна отставания (последние 3 дня периода)
T002260,ACC-0001,690.00,2026-03-30T20:09:48,в пределах окна отставания (последние 3 дня периода)
T002285,ACC-0006,2088.00,2026-03-31T00:36:58,в пределах окна отставания (последние 3 дня периода)
T002286,ACC-0011,1716.00,2026-03-31T01:00:13,в пределах окна отставания (последние 3 дня периода)
T002299,ACC-0003,672.00,2026-03-31T01:21:59,в пределах окна отставания (последние 3 дня периода)
T002279,ACC-0016,1600.00,2026-03-31T03:43:02,в пределах окна отставания (последние 3 дня периода)
T002295,ACC-0006,804.00,2026-03-31T04:18:19,в пределах окна отставания (последние 3 дня периода)
T002276,ACC-0021,5075.00,2026-03-31T05:23:15,в пределах окна отставания (последние 3 дня периода)
T002277,ACC-0014,2700.00,2026-03-31T13:17:43,в пределах окна отставания (последние 3 дня периода)
T002283,ACC-0027,1460.00,2026-03-31T13:51:25,в пределах окна отставания (последние 3 дня периода)
T002281,ACC-0006,1668.00,2026-03-31T14:17:59,в пределах окна отставания (последние 3 дня периода)
T002287,ACC-0031,1332.00,2026-03-31T17:35:58,в пределах окна отставания (последние 3 дня периода)
T002292,ACC-0008,664.00,2026-03-31T17:56:45,в пределах окна отставания (последние 3 дня периода)
T002274,ACC-0018,3020.00,2026-03-31T20:21:46,в пределах окна отставания (последние 3 дня периода)
T002288,ACC-0031,996.00,2026-03-31T21:06:27,в пределах окна отставания (последние 3 дня периода)
T002296,ACC-0026,528.00,2026-03-31T22:07:52,в пределах окна отставания (последние 3 дня периода)
T002294,ACC-0011,1164.00,2026-03-31T22:54:26,в пределах окна отставания (последние 3 дня периода)
T002298,ACC-0019,3955.00,2026-03-31T22:58:35,в пределах окна отставания (последние 3 дня периода)
