показатель,значение
z_для_95_процентов,1.9600
доля_A,0.040833
доля_B,0.048085
se_доли_A,0.004040
se_доли_B,0.004413
ci95_A_низ,0.032916
ci95_A_верх,0.048751
ci95_B_низ,0.039435
ci95_B_верх,0.056735
разница_долей,0.007252
se_разницы,0.005983
ci95_разницы_низ,-0.004475
ci95_разницы_верх,0.018978
z_статистика,1.2129
p_value,0.2252
нужный_размер_группы,6864
хи_квадрат,1.4710
хи_квадрат_порог_df1,3.8415
хи_квадрат_равен_z_в_квадрате,1.4710
средний_чек_A,1197.78
средний_чек_B,1287.38
t_статистика,0.7495
t_степеней_свободы,38
t_порог_двусторонний,2.0244
корреляция_r,0.6203
r_квадрат,0.3847
