store_id,net_revenue,gross_revenue,avg_weekly_flat26,avg_weekly_excl_closed
101,4894925.88,5147529.58,189306.53,189306.53
102,3937222.46,4138734.73,152268.27,152268.27
103,2818044.73,2975995.26,108985.16,108985.16
104,2436221.14,2562095.52,94218.50,122687.40
105,924767.60,2062882.74,35764.49,35764.49
106,2636130.34,2768601.43,101949.79,101949.79
107,2339722.97,2459965.68,90486.52,90486.52
108,2073705.10,2193179.42,80198.54,80198.54
109,1795846.66,1889159.27,69452.63,69452.63
110,1659485.46,1745532.34,64179.00,64179.00
111,1306038.60,1381069.79,50509.78,65771.73
112,1528312.27,1609946.97,59106.00,59106.00
