cohort_month,cohort_size,m0,m1,m2,m3,m4,m5
2025-01,180,1.0000,0.8222,0.6944,0.6056,0.4833,0.3889
2025-02,515,1.0000,0.8524,0.6738,0.5359,0.4078,0.3301
2025-03,574,1.0000,0.8449,0.7143,0.6028,0.4739,0.3728
2025-04,549,1.0000,0.8124,0.6539,0.5118,0.4262,0.3297
2025-05,498,1.0000,0.8775,0.7510,0.6325,0.4819,0.3815
2025-06,512,1.0000,0.8574,0.7012,0.5781,0.4961,0.3945
2025-07,492,1.0000,0.8435,0.7033,0.5488,0.4634,0.3841
2025-08,471,1.0000,0.8556,0.6879,0.5478,0.4544,0.3822
2025-09,448,1.0000,0.8438,0.7054,0.5781,0.4621,0.3683
2025-10,512,1.0000,0.8379,0.7168,0.5879,0.4531,0.3730
2025-11,483,1.0000,0.8385,0.6936,0.5611,0.4534,0.3768
2025-12,486,1.0000,0.8807,0.7531,0.6379,0.5206,0.4198
