tender_id,tenderID,date_created,date_modified,status,main_category,cpv_id,cpv_description,value_amount,value_currency,procuring_entity_name,procuring_entity_edrpou,region
cc6ad56049a742bdbc58f21bf1d5f417,UA-2026-08-14-002098-a,2026-08-14T10:20:29.967990+03:00,2026-08-21T21:28:46.371788+03:00,active.awarded,goods,15110000-2,М’ясо,582400.0,UAH,ВЕРЕНЧАНСЬКА СІЛЬСЬКА РАДА ЧЕРНІВЕЦЬКОГО РАЙОНУ ЧЕРНІВЕЦЬКОЇ ОБЛАСТІ,04418535,Чернівецька область
4d8356ff3cca48d6b0ec4421b6fd5daf,UA-2026-08-10-011863-a,2026-08-10T19:36:21.547002+03:00,2026-08-21T20:52:56.765812+03:00,complete,goods,15540000-5,Сирні продукти,46010.0,UAH,"ВІДДІЛ ОСВІТИ, МОЛОДІЖНОЇ ПОЛІТИКИ ТА СПОРТУ СНЯТИНСЬКОЇ МІСЬКОЇ РАДИ КОЛОМИЙСЬКОГО РАЙОНУ ІВАНО-ФРАНКІВСЬКОЇ ОБЛАСТІ",43917808,Івано-Франківська область
ca9ca8848ae9451bbb40b863a56f38ca,UA-2026-08-10-012200-a,2026-08-10T22:12:37.130074+03:00,2026-08-21T20:42:53.892862+03:00,complete,goods,15530000-2,Вершкове масло,79650.0,UAH,"ВІДДІЛ ОСВІТИ, МОЛОДІЖНОЇ ПОЛІТИКИ ТА СПОРТУ СНЯТИНСЬКОЇ МІСЬКОЇ РАДИ КОЛОМИЙСЬКОГО РАЙОНУ ІВАНО-ФРАНКІВСЬКОЇ ОБЛАСТІ",43917808,Івано-Франківська область
c0a8f7dd3d0d49d4b88cb442a56357d3,UA-2026-08-13-013146-a,2026-08-13T20:31:54.846541+03:00,2026-08-21T20:42:12.831737+03:00,complete,goods,15220000-6,"Риба, рибне філе та інше м’ясо риби морожені",1931565.54,UAH,УПРАВЛІННЯ ОСВІТИ БІЛГОРОД-ДНІСТРОВСЬКОЇ МІСЬКОЇ РАДИ,20989154,Одеська область
1a11a628e7344d6cabcd8a49c7693aa6,UA-2026-08-10-012157-a,2026-08-10T21:55:36.868031+03:00,2026-08-21T20:28:54.395155+03:00,complete,goods,15510000-6,Молоко та вершки,98712.0,UAH,"ВІДДІЛ ОСВІТИ, МОЛОДІЖНОЇ ПОЛІТИКИ ТА СПОРТУ СНЯТИНСЬКОЇ МІСЬКОЇ РАДИ КОЛОМИЙСЬКОГО РАЙОНУ ІВАНО-ФРАНКІВСЬКОЇ ОБЛАСТІ",43917808,Івано-Франківська область
feefb55ff8954e009e7a6c27a9701567,UA-2026-08-10-012295-a,2026-08-10T22:43:57.979517+03:00,2026-08-21T20:17:08.021810+03:00,complete,goods,15550000-8,Молочні продукти різні,55637.5,UAH,"ВІДДІЛ ОСВІТИ, МОЛОДІЖНОЇ ПОЛІТИКИ ТА СПОРТУ СНЯТИНСЬКОЇ МІСЬКОЇ РАДИ КОЛОМИЙСЬКОГО РАЙОНУ ІВАНО-ФРАНКІВСЬКОЇ ОБЛАСТІ",43917808,Івано-Франківська область
85da63b756814037b92bf1cbdaaca092,UA-2026-08-14-008265-a,2026-08-14T14:47:33.966568+03:00,2026-08-21T19:44:36.631594+03:00,complete,goods,15840000-8,Какао; шоколад та цукрові кондитерські вироби,2016.65,UAH,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КОЗЯТИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КОЗЯТИНСЬКОЇ МІСЬКОЇ РАДИ",35814729,Вінницька область
24a4342ae5bb4faeb60de5a1568c2d8a,UA-2026-08-14-008514-a,2026-08-14T14:55:56.515315+03:00,2026-08-21T19:42:49.968608+03:00,complete,goods,15330000-0,Оброблені фрукти та овочі,22500.0,UAH,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КОЗЯТИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КОЗЯТИНСЬКОЇ МІСЬКОЇ РАДИ",35814729,Вінницька область
df9421f574e14a59b3e2fbefd1da83fc,UA-2026-08-14-008412-a,2026-08-14T14:52:57.477163+03:00,2026-08-21T19:40:47.869980+03:00,complete,goods,15220000-6,"Риба, рибне філе та інше м’ясо риби морожені",28800.0,UAH,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""КОЗЯТИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КОЗЯТИНСЬКОЇ МІСЬКОЇ РАДИ",35814729,Вінницька область
87b47f4de0ce4e668f8860fe24c87c47,UA-2026-08-10-012090-a,2026-08-10T21:22:21.592510+03:00,2026-08-21T19:35:13.711061+03:00,active.awarded,goods,15811100-7,Хліб,219000.0,UAH,"ВІДДІЛ ОСВІТИ, СІМ'Ї, МОЛОДІ, СПОРТУ ТА КУЛЬТУРИ  МІЖГІРСЬКОЇ СЕЛИЩНОЇ РАДИ",44070606,Закарпатська область
2df925efabfa439dba7e4753e8b6f647,UA-2026-08-10-012039-a,2026-08-10T20:53:55.365502+03:00,2026-08-21T19:20:23.087829+03:00,complete,goods,15320000-7,Фруктові та овочеві соки,84240.0,UAH,"ВІДДІЛ ОСВІТИ, МОЛОДІЖНОЇ ПОЛІТИКИ ТА СПОРТУ СНЯТИНСЬКОЇ МІСЬКОЇ РАДИ КОЛОМИЙСЬКОГО РАЙОНУ ІВАНО-ФРАНКІВСЬКОЇ ОБЛАСТІ",43917808,Івано-Франківська область
f20d99624dd44117834d343d0ea7655a,UA-2026-08-10-011495-a,2026-08-10T17:58:45.434883+03:00,2026-08-21T19:08:31.747869+03:00,complete,goods,15220000-6,"Риба, рибне філе та інше м’ясо риби морожені",62000.0,UAH,"ВІДДІЛ ОСВІТИ, МОЛОДІЖНОЇ ПОЛІТИКИ ТА СПОРТУ СНЯТИНСЬКОЇ МІСЬКОЇ РАДИ КОЛОМИЙСЬКОГО РАЙОНУ ІВАНО-ФРАНКІВСЬКОЇ ОБЛАСТІ",43917808,Івано-Франківська область
19550779c9104b64a05e748a636c3794,UA-2026-08-06-008856-a,2026-08-06T15:22:10.577612+03:00,2026-08-21T18:59:04.605176+03:00,complete,goods,15890000-3,Продукти харчування та сушені продукти різні,191566.67,UAH,Національний Банк України,00032106,Київська область
2e75b65993d74c839b8d49b0b8e3bac0,UA-2026-08-11-012882-a,2026-08-11T19:00:12.817716+03:00,2026-08-21T18:33:00.742700+03:00,complete,goods,15610000-7,Продукція борошномельно-круп'яної промисловості,40505.0,UAH,"ВІДДІЛ ОСВІТИ, МОЛОДІЖНОЇ ПОЛІТИКИ ТА СПОРТУ СНЯТИНСЬКОЇ МІСЬКОЇ РАДИ КОЛОМИЙСЬКОГО РАЙОНУ ІВАНО-ФРАНКІВСЬКОЇ ОБЛАСТІ",43917808,Івано-Франківська область
1926a941038246218be8749ab69851c7,UA-2026-07-30-011006-a,2026-07-30T21:01:04.662484+03:00,2026-08-21T18:25:31.346094+03:00,active.awarded,goods,15710000-8,Готові корми для сільськогосподарських та інших тварин,48000.0,UAH,Військова частина А4795,26637864,
b22cb83937504e54a617d451ca46bfb7,UA-2026-08-10-011269-a,2026-08-10T17:31:16.361861+03:00,2026-08-21T18:21:16.224187+03:00,complete,goods,15110000-2,М’ясо,442290.0,UAH,"ВІДДІЛ ОСВІТИ, МОЛОДІЖНОЇ ПОЛІТИКИ ТА СПОРТУ СНЯТИНСЬКОЇ МІСЬКОЇ РАДИ КОЛОМИЙСЬКОГО РАЙОНУ ІВАНО-ФРАНКІВСЬКОЇ ОБЛАСТІ",43917808,Івано-Франківська область
36288a94ecd148498bd6760865dfc52b,UA-2026-08-12-012800-a,2026-08-12T23:19:25.015627+03:00,2026-08-21T18:02:40.022565+03:00,complete,goods,15810000-9,"Хлібопродукти, свіжовипечені хлібобулочні та кондитерські вироби",64000.0,UAH,БУШТИНСЬКИЙ ЛІЦЕЙ БУШТИНСЬКОЇ СЕЛИЩНОЇ РАДИ ТЯЧІВСЬКОГО РАЙОНУ ЗАКАРПАТСЬКОЇ ОБЛАСТІ,22114862,Закарпатська область
77335d82875b40bc9616f2b37c60848f,UA-2026-08-14-011381-a,2026-08-14T17:42:54.074621+03:00,2026-08-21T17:56:07.656456+03:00,active.awarded,goods,15220000-6,"Риба, рибне філе та інше м’ясо риби морожені",409090.91,UAH,ТЕРЕСВЯНСЬКИЙ ЛІЦЕЙ ІМЕНІ ВІТАЛІЯ БЕНЧАКА ТЕРЕСВЯНСЬКОЇ СЕЛИЩНОЇ РАДИ ТЯЧІВСЬКОГО РАЙОНУ ЗАКАРПАТСЬКОЇ ОБЛАСТІ,26326940,Закарпатська область
e9b7d7cb40064f7ba82556ec89b3f2cc,UA-2026-08-14-011355-a,2026-08-14T17:39:48.752452+03:00,2026-08-21T17:53:13.686790+03:00,active.awarded,goods,15530000-2,Вершкове масло,347368.42,UAH,ТЕРЕСВЯНСЬКИЙ ЛІЦЕЙ ІМЕНІ ВІТАЛІЯ БЕНЧАКА ТЕРЕСВЯНСЬКОЇ СЕЛИЩНОЇ РАДИ ТЯЧІВСЬКОГО РАЙОНУ ЗАКАРПАТСЬКОЇ ОБЛАСТІ,26326940,Закарпатська область
3f7b36390f3741b6b6b6898ca347d4fb,UA-2026-08-10-000918-a,2026-08-10T09:46:55.589920+03:00,2026-08-21T17:45:42.084003+03:00,active.awarded,goods,15880000-0,"Спеціальні продукти харчування, збагачені поживними речовинами",276080.0,UAH,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИЧНОЇ ДОПОМОГИ ОБ'ЄДНАНИХ ТЕРИТОРІАЛЬНИХ ГРОМАД"" МАЧУХІВСЬКОЇ СІЛЬСЬКОЇ РАДИ ПОЛТАВСЬКОГО РАЙОНУ ПОЛТАВСЬКОЇ ОБЛАСТІ",43245813,Полтавська область
be5f477d602943aa9f7125e43be8a22a,UA-2026-07-31-008344-a,2026-07-31T16:23:17.974996+03:00,2026-08-21T17:36:44.448769+03:00,active.qualification,goods,15330000-0,Оброблені фрукти та овочі,8800000.0,UAH,ГОЛОВНЕ УПРАВЛІННЯ НАЦІОНАЛЬНОЇ ГВАРДІЇ УКРАЇНИ,08803498,
88ecf8a02df142ffb5f1069ee6f0321b,UA-2026-08-07-008851-a,2026-08-07T14:57:01.018360+03:00,2026-08-21T17:35:13.616135+03:00,active.qualification,goods,15610000-7,Продукція борошномельно-круп'яної промисловості,2441400.0,UAH,ГОЛОВНЕ УПРАВЛІННЯ НАЦІОНАЛЬНОЇ ГВАРДІЇ УКРАЇНИ,08803498,
a255cdd35ee44bd89213c1cde2d6cbe0,UA-2026-08-12-007659-a,2026-08-12T14:40:37.723680+03:00,2026-08-21T17:31:03.804064+03:00,complete,goods,15810000-9,"Хлібопродукти, свіжовипечені хлібобулочні та кондитерські вироби",290400.0,UAH,"ВІДДІЛ ОСВІТИ, МОЛОДІ, СПОРТУ ТА КУЛЬТУРИ СВАЛЯВСЬКОЇ МІСЬКОЇ РАДИ ЗАКАРПАТСЬКОЇ ОБЛАСТІ",44634286,Закарпатська область
a15635bc3feb47ac961fb64460ce7710,UA-2026-08-13-008914-a,2026-08-13T15:02:10.154710+03:00,2026-08-21T17:18:14.380190+03:00,active.qualification,goods,15510000-6,Молоко та вершки,155370.0,UAH,"КОМУНАЛЬНИЙ ЗАКЛАД КИЇВСЬКОЇ ОБЛАСНОЇ РАДИ ""БАЗА СПЕЦІАЛЬНОГО МЕДИЧНОГО ПОСТАЧАННЯ""",02125740,Київська область
1a60b68698854b2b8cee70839a8af88d,UA-2026-07-28-011680-a,2026-07-28T17:16:33.946043+03:00,2026-08-21T17:16:48.645003+03:00,complete,goods,15220000-6,"Риба, рибне філе та інше м’ясо риби морожені",8791.97,UAH,Управління СБУ в Закарпатській області,20001562,Закарпатська область
645a4c7ff25247adad7d1e84e2b98af1,UA-2026-08-11-008122-a,2026-08-11T14:37:28.143810+03:00,2026-08-21T17:07:39.419606+03:00,active.qualification,goods,15000000-8,"Продукти харчування, напої, тютюн та супутня продукція",100833.34,UAH,"ДОЧІРНЄ ПІДПРИЄМСТВО ДЕРЖАВНОЇ КОМПАНІЇ ""УКРСПЕЦЕКСПОРТ"" - ДЕРЖАВНЕ ГОСПРОЗРАХУНКОВЕ ЗОВНІШНЬОТОРГІВЕЛЬНЕ ПІДПРИЄМСТВО ""СПЕЦТЕХНОЕКСПОРТ""",30019335,м. Київ
d52801d7f5834fa0adbfeb5b72af7fcd,UA-2026-07-29-008464-a,2026-07-29T15:30:37.982208+03:00,2026-08-21T17:07:12.103487+03:00,complete,goods,15860000-4,"Кава, чай та супутня продукція",5088.2,UAH,Управління СБУ в Закарпатській області,20001562,Закарпатська область
e2d98badcd724915b6a2d03bd25d1c4e,UA-2026-08-12-012040-a,2026-08-12T17:52:57.802993+03:00,2026-08-21T17:05:44.908551+03:00,complete,goods,15510000-6,Молоко та вершки,1625.0,UAH,Радивилівський ліцей № 2 ім.П.Г.Стрижака Радивилівської міської ради Дубенського  району Рівненської області,38505512,Рівненська область
008fea7e57774f6ca34c6bb6877962f6,UA-2026-08-16-000254-a,2026-08-16T14:54:02.334149+03:00,2026-08-21T17:04:37.175665+03:00,complete,goods,15890000-3,Продукти харчування та сушені продукти різні,71148.0,UAH,Комунальний заклад «Стародобровільський психоневрологічний інтернат» Дніпропетровської обласної ради»  ,03188240,Дніпропетровська область
a2dc158199da4afabc5d21fbd2ec77a8,UA-2026-07-30-007146-a,2026-07-30T14:51:47.823488+03:00,2026-08-21T17:03:21.628603+03:00,complete,goods,15320000-7,Фруктові та овочеві соки,4838.81,UAH,Управління СБУ в Закарпатській області,20001562,Закарпатська область
1c2a7c4e34af4687b63439e64928f411,UA-2026-08-13-005062-a,2026-08-13T12:06:49.355254+03:00,2026-08-21T16:41:48.614588+03:00,complete,goods,15320000-7,Фруктові та овочеві соки,372782.4,UAH,Державний заклад “Центр соціально-побутового та культурного забезпечення”,33551192,м. Київ
67244c84f6684fee9bbb2d360187ba4f,UA-2026-08-14-010968-a,2026-08-14T16:47:28.521409+03:00,2026-08-21T16:36:39.274464+03:00,complete,goods,15110000-2,М’ясо,275148.55,UAH,Відділ освіти Козлівської селищної ради ,41080689,Тернопільська область
f70bf983f9f840fda14e22988755bbb9,UA-2026-08-14-010776-a,2026-08-14T16:32:04.305209+03:00,2026-08-21T16:36:06.764994+03:00,active.awarded,goods,15540000-5,Сирні продукти,287500.0,UAH,КОЦЮБИНСЬКИЙ ЛІЦЕЙ №1 КОЦЮБИНСЬКОЇ СЕЛИЩНОЇ РАДИ БУЧАНСЬКОГО РАЙОНУ КИЇВСЬКОЇ ОБЛАСТІ,13736671,Київська область
7b40bee8aa7645b2a9fceda40ec83042,UA-2026-08-12-012323-a,2026-08-12T19:03:32.224889+03:00,2026-08-21T16:35:11.845715+03:00,complete,goods,15540000-5,Сирні продукти,820.83,UAH,Радивилівський ліцей № 2 ім.П.Г.Стрижака Радивилівської міської ради Дубенського  району Рівненської області,38505512,Рівненська область
