cc,exchangedate,rate,txt
AED,01.01.2020,6.4489,Дирхам ОАЕ
AED,02.01.2020,6.4489,Дирхам ОАЕ
AED,03.01.2020,6.4489,Дирхам ОАЕ
AED,04.01.2020,6.4489,Дирхам ОАЕ
AED,05.01.2020,6.4489,Дирхам ОАЕ
AED,06.01.2020,6.4489,Дирхам ОАЕ
AED,07.01.2020,6.4489,Дирхам ОАЕ
AED,08.01.2020,6.4489,Дирхам ОАЕ
AED,09.01.2020,6.4489,Дирхам ОАЕ
AED,10.01.2020,6.4489,Дирхам ОАЕ
AED,11.01.2020,6.4489,Дирхам ОАЕ
AED,12.01.2020,6.4489,Дирхам ОАЕ
AED,13.01.2020,6.4489,Дирхам ОАЕ
AED,14.01.2020,6.4489,Дирхам ОАЕ
AED,15.01.2020,6.4489,Дирхам ОАЕ
AED,16.01.2020,6.4489,Дирхам ОАЕ
AED,17.01.2020,6.4489,Дирхам ОАЕ
AED,18.01.2020,6.4489,Дирхам ОАЕ
AED,19.01.2020,6.4489,Дирхам ОАЕ
AED,20.01.2020,6.4489,Дирхам ОАЕ
AED,21.01.2020,6.4489,Дирхам ОАЕ
AED,22.01.2020,6.4489,Дирхам ОАЕ
AED,23.01.2020,6.4489,Дирхам ОАЕ
AED,24.01.2020,6.4489,Дирхам ОАЕ
AED,25.01.2020,6.4489,Дирхам ОАЕ
AED,26.01.2020,6.4489,Дирхам ОАЕ
AED,27.01.2020,6.4489,Дирхам ОАЕ
AED,28.01.2020,6.4489,Дирхам ОАЕ
AED,29.01.2020,6.4489,Дирхам ОАЕ
AED,30.01.2020,6.4489,Дирхам ОАЕ
AED,31.01.2020,6.4489,Дирхам ОАЕ
AED,01.02.2020,6.8144,Дирхам ОАЕ
AED,02.02.2020,6.8144,Дирхам ОАЕ
AED,03.02.2020,6.8144,Дирхам ОАЕ
AED,04.02.2020,6.8144,Дирхам ОАЕ
AED,05.02.2020,6.8144,Дирхам ОАЕ
AED,06.02.2020,6.8144,Дирхам ОАЕ
AED,07.02.2020,6.8144,Дирхам ОАЕ
AED,08.02.2020,6.8144,Дирхам ОАЕ
AED,09.02.2020,6.8144,Дирхам ОАЕ
AED,10.02.2020,6.8144,Дирхам ОАЕ
AED,11.02.2020,6.8144,Дирхам ОАЕ
AED,12.02.2020,6.8144,Дирхам ОАЕ
AED,13.02.2020,6.8144,Дирхам ОАЕ
AED,14.02.2020,6.8144,Дирхам ОАЕ
AED,15.02.2020,6.8144,Дирхам ОАЕ
AED,16.02.2020,6.8144,Дирхам ОАЕ
AED,17.02.2020,6.8144,Дирхам ОАЕ
AED,18.02.2020,6.8144,Дирхам ОАЕ
