supplier_edrpou,supplier_name,total_uah,в_ЄДР
33562670,"ТОВ ""ХОДОРІВСЬКИЙ М'ЯСОКОМБІНАТ""",40221476.4,True
45057319,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КАНТРІ-САЙД""",6854983.1,True
44651338,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ „КРИВКА”,4664500.0,True
31259168,"Товариство з обмеженою відповідальністю  ""Радивилівмолоко""",3893187.75,True
24767172,"МПП ""ХАДЖИБЕЙ""",3752802.9,True
34200887,"Товариство з обмеженою відповідальністю ""Руол Стандарт""",2383964.63,True
32704590,"ПП ""РОСА""",2332206.0,True
38425940,ПП Фенікс-Інком,2330203.2,True
45464585,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ДИКАНЬКАХЛІБ""",2145456.0,True
3654404274,ФОП ДРОЗД ІВАН ПАВЛОВИЧ,1629721.0,False
