edrpou,name,short_name,opf,stan,registration,terminated_info
00032106,НАЦІОНАЛЬНИЙ БАНК УКРАЇНИ,НАЦІОНАЛЬНИЙ БАНК,ОРГАН ДЕРЖАВНОЇ ВЛАДИ,зареєстровано,20.05.1999; 05.05.2005; 10701200000008289,
00135390,"АКЦІОНЕРНЕ ТОВАРИСТВО ""УКРНАФТА""","АТ ""УКРНАФТА""",АКЦІОНЕРНЕ ТОВАРИСТВО,зареєстровано,31.03.1994; 27.10.2004; 10741200000002352,
00276104,КАРПАТСЬКИЙ БІОСФЕРНИЙ ЗАПОВІДНИК,КБЗ,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,03.08.2001; 06.03.2007; 13171200000000631,
00380497,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ІЗЯСЛАВСЬКИЙ ХЛІБОЗАВОД""","ПРАТ ""ІЗЯСЛАВСЬКИЙ ХЛІБОЗАВОД""",ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО,зареєстровано,12.10.1994; 23.11.2004; 16581200000000039,
00445914,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ОБУХІВСЬКИЙ МОЛОЧНИЙ ЗАВОД""","ПРАТ""ОБУХІВСЬКИЙ МОЛОКОЗАВОД""",ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО,зареєстровано,22.08.1995; 21.02.2006; 13421200000000922,
00445920,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПЕРЕЯСЛАВ-МОЛПРОДУКТ""","ТОВ ""ПЕРЕЯСЛАВ-МОЛПРОДУКТ""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,24.04.2001; 12.10.2010; 13431450000000638,
00447853,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ЮРІЯ""","ПРАТ  ""ЮРІЯ""",ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО,зареєстровано,10.03.1995; 02.08.2004; 10261200000000088,
00693517,ДНІПРОПЕТРОВСЬКА РЕГІОНАЛЬНА ДЕРЖАВНА ЛАБОРАТОРІЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З ПИТАНЬ БЕЗПЕЧНОСТІ ХАРЧОВИХ ПРОДУКТІВ ТА ЗАХИСТУ СПОЖИВАЧІВ,ДРегДЛ Держпродспоживслужби,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,15.11.1999; 24.01.2007; 12241200000033676,
01280527,"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""МІСЬКА КЛІНІЧНА ЛІКАРНЯ № 4"" ДНІПРОВСЬКОЇ МІСЬКОЇ РАДИ","КНП ""МКЛ № 4"" ДМР",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,18.02.2002; 05.12.2019; 12241450000092908,
01565129,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ВОЛОДИМИРСЬКИЙ РИНОК""","КП ""ВОЛОДИМИРСЬКИЙ РИНОК""",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,09.04.2001; 31.10.2006; 10681200000017312,
