tender_id,tenderID,date_created,status,cpv_id,value_amount,value_currency,procuring_entity_name,procuring_entity_edrpou,region
66868c9af41c4011a37619f9b84e563c,UA-2026-08-22-000227-a,2026-08-22T12:11:32.891316+03:00,complete,15220000-6,15250.0,UAH,КЗ БОРЖАВСЬКА ГІМНАЗІЯ БЕРЕГІВСЬКОЇ МІСЬКОЇ РАДИ ЗАКАРПАТСЬКОЇ ОБЛАСТІ,26098858,Закарпатська область
d7afcfbfc050442ca8616e6b59f5071b,UA-2026-08-18-005255-a,2026-08-18T12:21:35.537084+03:00,active.qualification,15510000-6,92500.0,UAH,ПОЛТАВСЬКИЙ НАВЧАЛЬНО-ВИХОВНИЙ КОМПЛЕКС (ЗНЗ - ДНЗ) №16 ПОЛТАВСЬКОЇ МІСЬКОЇ РАДИ ПОЛТАВСЬКОЇ ОБЛАСТІ,26304973,Полтавська область
2ef58f5ac07a473db7e4fbb9f2380020,UA-2026-08-19-005256-a,2026-08-19T12:14:38.145674+03:00,active.qualification,15510000-6,43882.5,UAH,Відділ освіти Квітневої сільської ради,41456900,Житомирська область
5a235985846349a58723cff1438cf557,UA-2026-08-19-005010-a,2026-08-19T12:03:13.468802+03:00,active.qualification,15220000-6,110753.0,UAH,Білоцерківський гетьманський ліцей-гімназія  Білоцерківської міської ради Київської області,26147924,Київська область
ef0e7568a2fa47ce8dd8a8f2a654c17d,UA-2026-08-19-009584-a,2026-08-19T15:14:49.819525+03:00,active.qualification,15110000-2,167791.2,UAH,Сереховичівська сільська рада,04332851,Волинська область
954b4e20b16547f78ab2facc0cbb9b75,UA-2026-08-19-010385-a,2026-08-19T15:41:57.365305+03:00,active.qualification,15540000-5,95340.0,UAH,Сереховичівська сільська рада,04332851,Волинська область
e97e194c66084fdcb169fa02edd5a231,UA-2026-08-22-000197-a,2026-08-22T11:41:43.413767+03:00,complete,15110000-2,62573.0,UAH,КЗ БОРЖАВСЬКА ГІМНАЗІЯ БЕРЕГІВСЬКОЇ МІСЬКОЇ РАДИ ЗАКАРПАТСЬКОЇ ОБЛАСТІ,26098858,Закарпатська область
c316f7296846438da781b62bc51b10ba,UA-2026-08-19-004697-a,2026-08-19T11:50:35.426181+03:00,active.qualification,15110000-2,450089.0,UAH,Білоцерківський гетьманський ліцей-гімназія  Білоцерківської міської ради Київської області,26147924,Київська область
8d22479663c24612946a778c1c6e21d0,UA-2026-08-18-004178-a,2026-08-18T11:38:26.870089+03:00,active.tendering,15540000-5,705000.0,UAH,військова частина А3723,22999932,Київська область
2f0f3d7fa2574e728a152d327b929dd1,UA-2026-08-22-000196-a,2026-08-22T11:40:23.911949+03:00,active.tendering,15130000-8,1405385.0,UAH,ВІЙСЬКОВА ЧАСТИНА 3029 НАЦІОНАЛЬНОЇ ГВАРДІЇ УКРАЇНИ,08803661,Запорізька область
431890b2ef5d4bbeaceba73cb3ff2e8e,UA-2026-08-19-004458-a,2026-08-19T11:42:54.614940+03:00,active.qualification,15540000-5,164838.0,UAH,Білоцерківський гетьманський ліцей-гімназія  Білоцерківської міської ради Київської області,26147924,Київська область
d1b0c760efb340c1bd327bdabe7c8776,UA-2026-08-18-003529-a,2026-08-18T11:17:37.176470+03:00,active.tendering,15850000-1,240000.0,UAH,військова частина А3723,22999932,Київська область
7c9ce0132694479fa47533e720efb8b7,UA-2026-08-18-003099-a,2026-08-18T11:03:04.065328+03:00,active.tendering,15610000-7,721816.67,UAH,військова частина А3723,22999932,Київська область
088f7ceb1a1f4558bb953304510a89a8,UA-2026-08-22-000155-a,2026-08-22T10:54:17.306940+03:00,complete,15870000-7,14384.0,UAH,"Хустська спеціальна школа І-ІІІ ступенів Закарпатської обласної ради
",20453376,Закарпатська область
3314c8498c4a41fdb4c9148f72532863,UA-2026-08-19-002896-a,2026-08-19T10:51:23.430352+03:00,active.qualification,15320000-7,58582.5,UAH,"Кременчуцька гімназія № 16 Кременчуцької міської ради Кременчуцького району Полтавської області
",23554037,Полтавська область
b73aaff037ad4c8fa04f464e4bf83cde,UA-2026-08-19-002471-a,2026-08-19T10:37:37.080456+03:00,active.qualification,15610000-7,68354.94,UAH,"Кременчуцька гімназія № 16 Кременчуцької міської ради Кременчуцького району Полтавської області
",23554037,Полтавська область
3fc2bcee783f496694e89973513987e0,UA-2026-08-19-002298-a,2026-08-19T10:31:16.369975+03:00,active.qualification,15330000-0,12600.0,UAH,"ДЕРЖАВНА УСТАНОВА ""ДНІПРОВСЬКА ВИПРАВНА  КОЛОНІЯ (№89)",08562909,Дніпропетровська область
e2c2e279dc0948bdb636d46ad24a175e,UA-2026-08-22-000142-a,2026-08-22T10:33:18.694351+03:00,active.tendering,15550000-8,93000.0,UAH,КРИВОРІЗЬКИЙ ФАХОВИЙ КОЛЕДЖ НАЦІОНАЛЬНОГО  УНІВЕРСИТЕТУ «КИЇВСЬКИЙ АВІАЦІЙНИЙ ІНСТИТУТ»,45875458,Дніпропетровська область
23a7085e81d24b809edd0f0086922c14,UA-2026-08-22-000141-a,2026-08-22T10:32:55.871793+03:00,complete,15810000-9,16639.0,UAH,"Хустська спеціальна школа І-ІІІ ступенів Закарпатської обласної ради
",20453376,Закарпатська область
67595e8930bb4db9b01963d0cbcbac5c,UA-2026-08-19-011976-a,2026-08-19T16:39:01.871804+03:00,active.awarded,15540000-5,175000.0,UAH,Новомиргородська міська рада ,04055104,Кіровоградська область
a7212f0bba2e44b28d462074157aa308,UA-2026-08-22-000130-a,2026-08-22T10:26:11.416893+03:00,complete,15820000-2,1350.0,UAH,"Хустська спеціальна школа І-ІІІ ступенів Закарпатської обласної ради
",20453376,Закарпатська область
27a668cb917545c7b33389ef6df5c04e,UA-2026-08-19-012579-a,2026-08-19T17:09:59.345769+03:00,active.awarded,15610000-7,28333.33,UAH,Новомиргородська міська рада ,04055104,Кіровоградська область
1e9f92c3993f400c8845e84b232561d2,UA-2026-08-22-000128-a,2026-08-22T10:22:20.105335+03:00,active.tendering,15510000-6,97500.0,UAH,КРИВОРІЗЬКИЙ ФАХОВИЙ КОЛЕДЖ НАЦІОНАЛЬНОГО  УНІВЕРСИТЕТУ «КИЇВСЬКИЙ АВІАЦІЙНИЙ ІНСТИТУТ»,45875458,Дніпропетровська область
01c012ada33a44ef8c5553cc0978922a,UA-2026-08-22-000119-a,2026-08-22T10:13:15.127751+03:00,complete,15840000-8,13500.0,UAH,"Хустська спеціальна школа І-ІІІ ступенів Закарпатської обласної ради
",20453376,Закарпатська область
f957c2b4c60d4a459e9dffe3dc9de3d6,UA-2026-08-19-009123-a,2026-08-19T15:00:34.356251+03:00,active.qualification,15850000-1,35618.0,UAH,"МЕДИЧНИЙ РЕАБІЛІТАЦІЙНИЙ ЦЕНТР МВС УКРАЇНИ ""ПЕРЛИНА ПРИКАРПАТТЯ""",20760948,Львівська область
62c9c4b180b24cd6abb004d53454c956,UA-2026-08-19-009879-a,2026-08-19T15:24:36.277769+03:00,active.qualification,15550000-8,3068.0,UAH,"КЗ ""Ковалівський ліцей"" Немирівської міської ради",25495497,Вінницька область
