period,cost_usd_thousand,qty_pairs
2015-M01,18469.7,3550740
2015-M02,45897.3,9068765.5
2015-M03,83975.2,17481046
2015-M04,97947.9,19577015
2015-M05,108617.3,20887738
2015-M06,119759.4,22190651
2015-M07,138630.2,
2015-M08,164758.4,28464410.5
2015-M09,189606.8,30841199.5
2015-M10,205214.7,32285775
2015-M11,215048.3,33091558
2016-M01,11025.9,1134793.5
2016-M02,43470,7745656.5
2016-M03,,14802624.5
2016-M04,85997.4,16375615.5
2016-M05,95899.7,17416392.5
2016-M06,111143.2,20131805.5
2016-M07,137545.6,25229546.5
2016-M08,170182.4,30086102.5
2016-M09,200199.6,34037767
2016-M10,218625,36196694.5
2016-M11,231109.7,37440598
2017-M01,19554.1,3051334
2017-M02,,10719711.5
2017-M03,75675.6,16399984
2017-M04,90659.8,19217391.5
2017-M05,101975.8,21360215.5
2017-M06,117918.5,24993024
2017-M07,144710.8,31643283.5
2017-M08,169901.8,
2017-M09,194895.9,41273260
2017-M10,215167.8,44411349
2017-M11,229661.3,46248308.5
2018-M01,25669.5,
2018-M02,54348.8,9384598.5
2018-M03,83935.6,16927730
2018-M04,101703.4,19097906.5
2018-M05,,20968048.5
2018-M06,129400.8,
2018-M07,166541.8,28604363.5
2018-M08,211616.2,35247654.5
2018-M09,259048.1,42234751.5
2018-M10,291149.2,46613561
2018-M11,311319.7,49337446
2019-M01,32620.7,6444081
2019-M02,80563.5,16976055
2019-M03,121162.1,
2019-M04,143970,29594301
2019-M05,164588,32980334
2019-M06,190060.8,37468250
2019-M07,,45768404
2019-M08,290533.5,52852471.5
2019-M09,343274.3,59694626
2019-M10,377257.1,64600203
2019-M11,400594.4,67655167.5
2020-M01,46758.8,8436305
2020-M02,110841.4,21855768
2020-M03,148067.8,28754466.5
2020-M04,157438.5,30539635.5
2020-M05,173924.9,33260086
2020-M06,193636.3,36221315
2020-M07,221159.7,40518476.5
2020-M08,260965.1,45390294.5
2020-M09,306511.4,50970184.5
2020-M10,341425.9,54608737.5
2020-M11,363049.8,57295954
2021-M01,35204,4722331.5
2021-M02,104633.5,
2021-M03,173314.3,22488027
2021-M04,197853.5,25160007.5
2021-M05,228582.1,
2021-M06,,31280639.5
2021-M07,298699,
2021-M08,,40609353.5
2021-M09,403736.4,
2021-M10,452755.4,49387397
2021-M11,483407.8,
2022-M01,56369.6,5878918.5
2022-M02,107278.3,11344860.5
2022-M03,111073.6,11680917.5
2022-M04,146474,15713343.5
2022-M05,172198.3,18106988.5
2022-M06,202795.4,20854376.5
2022-M07,216791.1,22261069.5
2022-M08,230806.5,23435724.5
2022-M09,251471.6,24766439.5
2022-M10,282312.9,26559668.5
2022-M11,323744.4,29145184.5
2023-M01,37390.5,2016300.5
2023-M02,76028.2,5344963.5
2023-M03,108451.4,
2023-M04,137234.6,10874467.5
2023-M05,161869.2,12815661.5
2023-M06,194931.1,16118644
2023-M07,235253.6,19705888
2023-M08,290027.3,24751150.5
2023-M09,,29464461
2023-M10,395719.6,32740190.5
2023-M11,417154.8,34385517.5
2024-M01,40669.9,4258307
2024-M02,76071.4,7594434
2024-M03,122593.1,12344974.5
2024-M04,158396.8,
2024-M05,181536.1,17605762.5
2024-M06,206948.5,20261462.5
2024-M07,245681.5,23796822.5
2024-M08,296677,28157879.5
2024-M09,343646.1,31625225
2024-M10,377202.5,33964909
2024-M11,399480.8,35532703
