region_code,region_name,period,idx_yoy_pct
UA00000000000000000,Україна,2021-M01,101.9
UA00000000000000000,Україна,2021-M02,103.7
UA00000000000000000,Україна,2021-M03,111.5
UA00000000000000000,Україна,2021-M04,139.2
UA00000000000000000,Україна,2021-M05,121.9
UA00000000000000000,Україна,2021-M06,113.5
UA00000000000000000,Україна,2021-M07,108.7
UA00000000000000000,Україна,2021-M08,110.7
UA00000000000000000,Україна,2021-M09,109.8
UA00000000000000000,Україна,2021-M10,103.8
UA00000000000000000,Україна,2021-M11,106.8
UA00000000000000000,Україна,2021-M12,106.2
UA00000000000000000,Україна,2022-M01,119.3
UA00000000000000000,Україна,2022-M02,110.7
UA00000000000000000,Україна,2022-M03,63.5
UA00000000000000000,Україна,2022-M04,67.3
UA00000000000000000,Україна,2022-M05,70.6
UA00000000000000000,Україна,2022-M06,70.1
UA00000000000000000,Україна,2022-M07,74.8
UA00000000000000000,Україна,2022-M08,74.2
UA00000000000000000,Україна,2022-M09,78.1
UA00000000000000000,Україна,2022-M10,76.4
UA00000000000000000,Україна,2022-M11,76.1
UA00000000000000000,Україна,2022-M12,74.1
UA00000000000000000,Україна,2023-M01,77.4
UA00000000000000000,Україна,2023-M02,80.2
UA00000000000000000,Україна,2023-M03,141.3
UA00000000000000000,Україна,2023-M04,139.2
UA00000000000000000,Україна,2023-M05,127.8
UA00000000000000000,Україна,2023-M06,126.5
UA00000000000000000,Україна,2023-M07,118.8
UA00000000000000000,Україна,2023-M08,126.3
UA00000000000000000,Україна,2023-M09,121.2
UA00000000000000000,Україна,2023-M10,126.7
UA00000000000000000,Україна,2023-M11,127.7
UA00000000000000000,Україна,2023-M12,122.4
UA00000000000000000,Україна,2024-M01,117.9
UA00000000000000000,Україна,2024-M02,120.9
UA00000000000000000,Україна,2024-M03,117.1
UA00000000000000000,Україна,2024-M04,115.1
UA00000000000000000,Україна,2024-M05,114.3
UA00000000000000000,Україна,2024-M06,113.6
