date,rate
01.01.2015,1576.8556
02.01.2015,1576.8556
03.01.2015,1576.8556
04.01.2015,1576.8556
05.01.2015,1576.8556
06.01.2015,1577.9566
07.01.2015,1577.9566
08.01.2015,1575.5631
09.01.2015,1574.9587
10.01.2015,1574.9587
11.01.2015,1574.9587
12.01.2015,1575.7965
13.01.2015,1576.7906
14.01.2015,1577.124
15.01.2015,1577.6095
16.01.2015,1579.7967
17.01.2015,1587.643
18.01.2015,1587.643
19.01.2015,1580.7737
20.01.2015,1577.2208
21.01.2015,1578.4755
22.01.2015,1576.7642
23.01.2015,1579.205
24.01.2015,1579.205
25.01.2015,1579.205
26.01.2015,1581.0005
27.01.2015,1589.9591
28.01.2015,1586.9445
29.01.2015,1595.4336
30.01.2015,1615.7817
31.01.2015,1615.7817
01.02.2015,1615.7817
02.02.2015,1614.6996
03.02.2015,1624.1449
04.02.2015,1672.8929
05.02.2015,1799.9763
06.02.2015,2313.058
07.02.2015,2313.058
08.02.2015,2313.058
09.02.2015,2495.6198
10.02.2015,2484.0495
11.02.2015,2555.8067
12.02.2015,2509.9142
13.02.2015,2591.8523
14.02.2015,2591.8523
15.02.2015,2591.8523
16.02.2015,2604.9893
17.02.2015,2635.8713
18.02.2015,2679.9674
19.02.2015,2735.7992
20.02.2015,2785.8494
21.02.2015,2785.8494
22.02.2015,2785.8494
23.02.2015,2834.8066
24.02.2015,2829.1218
25.02.2015,2804.6032
26.02.2015,3001.0175
27.02.2015,2776.312
28.02.2015,2776.312
01.03.2015,2776.312
02.03.2015,2685.8114
03.03.2015,2482.0658
04.03.2015,2377.1263
05.03.2015,2309.0564
06.03.2015,2289.7045
07.03.2015,2289.7045
08.03.2015,2289.7045
09.03.2015,2289.7045
10.03.2015,2173.571
11.03.2015,2155.2936
12.03.2015,2155.3929
13.03.2015,2161.6059
14.03.2015,2161.6059
15.03.2015,2161.6059
16.03.2015,2177.0381
17.03.2015,2224.6866
18.03.2015,2329.6787
19.03.2015,2339.4039
20.03.2015,2319.0613
21.03.2015,2319.0613
22.03.2015,2319.0613
23.03.2015,2314.9873
24.03.2015,2328.7844
25.03.2015,2355.7021
26.03.2015,2350.0799
27.03.2015,2351.3024
28.03.2015,2351.3024
29.03.2015,2351.3024
30.03.2015,2344.2625
31.03.2015,2344.2625
01.04.2015,2345.1383
02.04.2015,2348.1944
03.04.2015,2350.9492
04.04.2015,2350.9492
05.04.2015,2350.9492
06.04.2015,2330.4799
07.04.2015,2344.7515
08.04.2015,2350.6033
09.04.2015,2351.0335
10.04.2015,2343.5369
11.04.2015,2343.5369
12.04.2015,2343.5369
13.04.2015,2343.5369
14.04.2015,2288.2033
15.04.2015,2292.6551
16.04.2015,2178.3027
17.04.2015,2144.5856
18.04.2015,2144.5856
19.04.2015,2144.5856
20.04.2015,2105.7654
21.04.2015,2225.4387
22.04.2015,2227.6179
23.04.2015,2254.2193
24.04.2015,2253.1063
25.04.2015,2253.1063
26.04.2015,2253.1063
27.04.2015,2245.163
28.04.2015,2289.8565
29.04.2015,2226.2406
30.04.2015,2104.6832
01.05.2015,2104.6832
02.05.2015,2104.6832
03.05.2015,2104.6832
04.05.2015,2104.6832
05.05.2015,2113.2395
06.05.2015,2113.3059
07.05.2015,2102.5503
08.05.2015,2072.246
09.05.2015,2072.246
10.05.2015,2072.246
11.05.2015,2072.246
12.05.2015,2058.9862
13.05.2015,2063.756
14.05.2015,2057.0787
15.05.2015,2056.9333
16.05.2015,2056.9333
17.05.2015,2056.9333
18.05.2015,2069.8242
19.05.2015,2211.8662
20.05.2015,2125.258
21.05.2015,2081.2662
22.05.2015,2067.8827
23.05.2015,2067.8827
24.05.2015,2067.8827
25.05.2015,2083.6853
26.05.2015,2113.3675
27.05.2015,2142.3472
28.05.2015,2104.1285
29.05.2015,2104.8227
30.05.2015,2104.8227
31.05.2015,2104.8227
01.06.2015,2104.8227
02.06.2015,2108.4888
03.06.2015,2107.0818
04.06.2015,2100.5961
05.06.2015,2101.3713
06.06.2015,2101.3713
07.06.2015,2101.3713
08.06.2015,2102.5806
09.06.2015,2110.2444
10.06.2015,2116.9299
11.06.2015,2115.333
12.06.2015,2102.7495
13.06.2015,2102.7495
14.06.2015,2102.7495
15.06.2015,2105.8829
16.06.2015,2144.881
17.06.2015,2214.7739
18.06.2015,2165.0235
19.06.2015,2132.9154
20.06.2015,2132.9154
21.06.2015,2132.9154
22.06.2015,2163.5428
23.06.2015,2176.87
24.06.2015,2152.572
25.06.2015,2117.802
26.06.2015,2119.6069
27.06.2015,2119.6069
28.06.2015,2119.6069
29.06.2015,2119.6069
30.06.2015,2101.5358
01.07.2015,2100.5219
02.07.2015,2100.6373
03.07.2015,2101.1609
04.07.2015,2101.1609
05.07.2015,2101.1609
06.07.2015,2101.8248
07.07.2015,2126.5897
08.07.2015,2170.0382
09.07.2015,2197.1761
10.07.2015,2184.8173
11.07.2015,2184.8173
12.07.2015,2184.8173
13.07.2015,2191.6483
14.07.2015,2196.3753
15.07.2015,2199.5345
16.07.2015,2210.7282
17.07.2015,2198.6687
18.07.2015,2198.6687
19.07.2015,2198.6687
20.07.2015,2201.4924
21.07.2015,2203.2134
22.07.2015,2202.1461
23.07.2015,2201.2094
24.07.2015,2201.5695
25.07.2015,2201.5695
26.07.2015,2201.5695
27.07.2015,2207.352
28.07.2015,2206.2278
29.07.2015,2203.9591
30.07.2015,2207.3558
31.07.2015,2161.1775
01.08.2015,2161.1775
02.08.2015,2161.1775
03.08.2015,2112.6666
