сегмент,клиентов,выручка,доля_выручки
111,110,94879.22,2.25
112,22,44655.3,1.06
121,4,4307.69,0.1
122,44,107709.81,2.55
123,11,43885.19,1.04
132,7,20831.52,0.49
133,33,160586.82,3.8
134,4,27385.11,0.65
211,57,53462.35,1.27
212,12,24078.3,0.57
221,6,7366.96,0.17
222,42,111289.4,2.63
223,8,32261.87,0.76
232,3,7814.88,0.18
233,59,283373.84,6.71
234,10,70093.52,1.66
243,5,27679.5,0.66
244,38,316389.29,7.49
311,42,33067.37,0.78
312,11,20816.3,0.49
321,2,2333.36,0.06
322,32,85987.61,2.04
323,4,15972.13,0.38
332,6,17755.21,0.42
333,40,193498.58,4.58
334,14,100197.59,2.37
343,5,27214.56,0.64
344,68,660817.4,15.64
411,14,15172.2,0.36
412,11,22312.19,0.53
421,4,4812.94,0.11
422,40,104716.35,2.48
423,14,57601.47,1.36
432,9,28025.28,0.66
433,51,248551.04,5.88
434,9,65969.71,1.56
443,8,47299.29,1.12
444,96,1034506.19,24.49
